PART_NUM,DEAL_REG_GROUP,START_DATE,END_DATE,ADD_DATE,MODIFIED_DATE
SAPT000953,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000954,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000955,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000956,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000957,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000958,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000959,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000960,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000961,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000962,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000963,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000964,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000965,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000966,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000967,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000968,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000969,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000970,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000971,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000972,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000973,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000974,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000975,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000976,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000977,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000978,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000979,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000980,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000981,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000982,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000983,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000984,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000985,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000986,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000987,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000988,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000989,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000990,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000991,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000992,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000993,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000994,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000995,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000996,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000997,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000998,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000999,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001000,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001001,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001002,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001003,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001004,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001005,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001006,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001007,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001008,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001009,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001010,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001011,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001012,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001013,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001014,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001015,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001016,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001017,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001018,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001019,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001020,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001021,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001022,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001023,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001024,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001025,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001026,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001027,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001028,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001029,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001030,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001031,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001032,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001033,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001034,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001035,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001036,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001037,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001038,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001039,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001040,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT001041,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
