PART_NUM,DEAL_REG_GROUP,START_DATE,END_DATE,ACTIVE_FLAG,ADD_DATE,MODIFIED_Date
SWPT007352,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007353,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007659,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007660,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT000122,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000123,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000124,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000136,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000137,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000196,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000309,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000310,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000311,Insights for Software,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
